flag_id,username,dimension,level,polarity,file_name,reason,created_at
b5636fcb-c3b4-4ead-a1d4-288c400514f3,user_1,RCQL,6,negative,sample_21.mp3,Discerption matches the first speaker,2026-05-06 15:32:28
6aa56e4a-9737-40f4-9344-6aaf4485201f,user_1,R_MASK,1,negative,sample_21.mp3,"2 speakers, the description matches the first speaker",2026-05-06 15:21:21
26ff5460-87dc-48ec-85ce-4a027bdb968c,user_1,ATCK,2,positive,sample_19.mp3,No Audio at all,2026-05-06 15:13:24
b17c6d03-a915-4ce4-8b8f-97484fad1441,user_2,STNC,0,positive,sample_24.mp3,weird noises,2026-05-06 14:38:35
827f324f-83db-4cd3-b2ab-60431121ec8e,user_1,STNC,2,positive,sample_01.mp3,3 speakers,2026-05-06 11:04:05
bc5a9ef3-6f69-4def-82d3-4ae6edf31f7a,user_1,R_HEAD,0,negative,sample_02.mp3,"3 speakers, the description matches the first speaker (the woman)",2026-05-06 10:41:59
b2321077-07c0-49ab-9d0e-41edf747d98b,user_1,R_ORAL,0,positive,sample_07.mp3,Not speech it is mumbling,2026-05-06 10:25:06
06d08215-8536-4b51-b28a-32875e187d2d,user_2,CLRT,1,positive,sample_22.mp3,weird noises,2026-05-05 22:47:31
d4c8672b-eafa-49f0-8b74-76eff06fa741,user_1,HARM,2,positive,sample_17.mp3,"No Speech, music only.",2026-05-05 19:57:50
9560d55f-f605-462a-9eec-fbc42719966a,user_1,S_RANT,2,positive,sample_00.mp3,"2 speakers, one fits the description and the other doesn't",2026-05-05 19:44:32
d47fe9d6-3f02-4cd1-baa2-f0b5b239458d,user_1,R_HEAD,0,positive,sample_19.mp3,I hear no one speaking,2026-05-05 19:41:15
abe7ee9d-8be6-47a2-b14c-e61ae1af0651,user_1,S_CART,4,positive,sample_08.mp3,No speech,2026-05-05 19:24:04
5122b79f-c324-41ad-b175-5222c465a3dd,user_1,SMTH,0,positive,sample_18.mp3,"Mumbling, no speech",2026-05-05 19:13:40
765954c9-23c7-4a30-991e-2a064f102272,user_1,FOCS,6,negative,sample_18.mp3,No speech in the audio,2026-05-05 18:34:25
ec2295c1-a895-47d1-a056-d17c01990ada,user_1,VOLT,6,positive,sample_05.mp3,2 speakers,2026-05-05 13:45:25
d66963ed-db8c-42bc-bfa4-842b23c66a93,user_1,VFLX,0,positive,sample_20.mp3,it is only music,2026-05-05 13:15:02
88c884e0-9e42-4118-8b69-0236ea9120b2,user_1,DFLU,6,positive,sample_04.mp3,NSFW content: Sexual material,2026-05-05 12:55:50
2e92f0fd-6af5-490b-a77b-0cc5f93ea2fe,user_1,BKGN,1,positive,sample_17.mp3,No audio at all,2026-05-04 22:24:15
0db0a4f2-9fa9-4960-b1fe-0ba0503f01af,user_1,VALN,5,negative,sample_16.mp3,No speech,2026-05-04 22:09:22
0c541f37-bba7-4ec5-a1ed-7109575c5dce,user_1,ARSH,3,positive,sample_19.mp3,No Audio,2026-05-04 21:57:49
6efe3d1a-8e45-498f-97f8-23f23d3b521b,user_1,R_NASL,3,positive,sample_18.mp3,"No speech only ""mhmmm""",2026-05-04 21:57:10
c064bfe6-2ef5-4105-a2b2-b3d631755c38,user_1,REGS,5,positive,sample_02.mp3,"2 speakers, don't know which one is described",2026-05-04 21:55:14
1b3bac5c-8d6a-4a4e-a35a-5560086c9070,user_1,VFLX,3,negative,sample_05.mp3,2 speakers I don't know the description about whom,2026-05-04 21:33:13
32338542-34c0-4474-a8a4-f0ec25760374,user_1,BRGT,1,positive,sample_09.mp3,No one is speaking it is breathing noise,2026-05-04 21:13:25
7e3deb2d-c4e5-4615-a46c-8003f9849914,user_1,RESP,4,positive,sample_18.mp3,"No speech, heavy breathing only",2026-05-04 20:39:28
57a4a545-7821-46ac-9c18-8f7cfbf39a8e,user_1,EMPH,0,negative,sample_11.mp3,"No speech, sexual noise only",2026-05-04 20:34:39
bf1c2c21-cbc9-400f-b0d1-2aadf5b930c8,user_2,ESTH,0,positive,sample_07.mp3,weird noises,2026-05-04 18:13:52
c689f639-dafd-4b42-9050-ab4ec17a0f57,user_2,R_HEAD,4,positive,sample_20.mp3,weird noise,2026-05-04 17:57:54
d8f1fcb7-07e7-4fc1-b6e0-eb9dcba54b3d,user_0,ROUG,1,positive,sample_00.mp3,"absolute silence, should be removed",2026-04-30 19:14:04
b88b7d95-9ee9-4816-b490-afdddbb445e6,user_0,COGL,1,positive,sample_16.mp3,"can be removed, no speach, no background noise, just silence",2026-04-29 22:28:43
b9cc9050-c639-4d48-8225-4aa279e3f6db,user_0,SMTH,1,positive,sample_11.mp3,"can be removed, no speach or background noise, just silence",2026-04-29 22:27:18
f3fcb4a8-7f54-4313-b7e8-7486a1f6b0c8,user_0,S_CART,4,positive,sample_10.mp3,"no speach, just backround noise",2026-04-29 10:36:26
16c5beb0-5d0a-41d1-892a-61b3c45df4ca,user_0,TEMP,0,positive,sample_22.mp3,no speach,2026-04-29 10:26:38
aad28df1-a6ec-43b1-8033-3c10ff3d2abc,user_0,SMTH,0,positive,sample_00.mp3,"inaudiable, no speach, it's just mumbling that is toned down",2026-04-29 10:15:54
8ba7c46f-7c59-460d-8206-7482c36710aa,user_0,VALN,1,negative,sample_12.mp3,"No speach until the last milisecond, in which you can't distinguish anything",2026-04-29 10:15:20
2fb9d6e3-46fd-4667-afd5-55116f9a2f94,user_0,S_TECH,5,positive,sample_01.mp3,"robotic, no emotions are present",2026-04-29 10:03:36
0242b29b-b483-4f95-85b5-3e304f142b90,user_7,SMTH,6,positive,sample_20.mp3,this is really werid....,2026-04-16 09:56:15
