flag_id,username,dimension,level,polarity,file_name,reason,created_at
bf1c2c21-cbc9-400f-b0d1-2aadf5b930c8,user_2,ESTH,0,positive,sample_07.mp3,weird noises,2026-05-04 18:13:52
c689f639-dafd-4b42-9050-ab4ec17a0f57,user_2,R_HEAD,4,positive,sample_20.mp3,weird noise,2026-05-04 17:57:54
d8f1fcb7-07e7-4fc1-b6e0-eb9dcba54b3d,user_0,ROUG,1,positive,sample_00.mp3,"absolute silence, should be removed",2026-04-30 19:14:04
b88b7d95-9ee9-4816-b490-afdddbb445e6,user_0,COGL,1,positive,sample_16.mp3,"can be removed, no speach, no background noise, just silence",2026-04-29 22:28:43
b9cc9050-c639-4d48-8225-4aa279e3f6db,user_0,SMTH,1,positive,sample_11.mp3,"can be removed, no speach or background noise, just silence",2026-04-29 22:27:18
f3fcb4a8-7f54-4313-b7e8-7486a1f6b0c8,user_0,S_CART,4,positive,sample_10.mp3,"no speach, just backround noise",2026-04-29 10:36:26
16c5beb0-5d0a-41d1-892a-61b3c45df4ca,user_0,TEMP,0,positive,sample_22.mp3,no speach,2026-04-29 10:26:38
aad28df1-a6ec-43b1-8033-3c10ff3d2abc,user_0,SMTH,0,positive,sample_00.mp3,"inaudiable, no speach, it's just mumbling that is toned down",2026-04-29 10:15:54
8ba7c46f-7c59-460d-8206-7482c36710aa,user_0,VALN,1,negative,sample_12.mp3,"No speach until the last milisecond, in which you can't distinguish anything",2026-04-29 10:15:20
2fb9d6e3-46fd-4667-afd5-55116f9a2f94,user_0,S_TECH,5,positive,sample_01.mp3,"robotic, no emotions are present",2026-04-29 10:03:36
0242b29b-b483-4f95-85b5-3e304f142b90,user_7,SMTH,6,positive,sample_20.mp3,this is really werid....,2026-04-16 09:56:15
